CUSTOMERID,NAME,CUSTOMERADDRESS,PHONE,PASSWORD,USERNAME,DATESIGNUP,CARDNUMBER
1,ALFRED,BACON STREET,623623623,alfred123,al1,12-MAY-18,101
2,JAMES,DOWNTOWN ABBEY,659659659,james123,ja2,10-MAY-18,102
3,GEORGE,DETROIT CITY,654654654,george123,ge3,21-JUN-17,103
4,TOM,WASHINGTON DC.,658658658,tom123,tom4,05-DEC-16,104
5,PETER,CASTERLY ROCK,652652652,peter123,pe5,09-AUG-16,105
6,JENNY,TERRAKOTA,651651651,jenny123,je6,30-APR-17,106
7,ROSE,SWEET HOME ALABAMA,657657657,rose123,ro7,28-FEB-18,107
8,MONICA,FAKE STREET 123,639639639,monica123,mo8,15-JAN-16,108
9,PHOEBE,CENTRAL PERK,678678678,phoebe123,pho9,25-MAR-16,109
10,RACHEL,WHEREVER,687687687,rachel123,ra10,01-SEP-17,110
